"date","platform","campaign_type","ad_spend","revenue","conversions","impressions","clicks"
"2024-01-21","Google Ads","Search","2662.38","4803.43","159","59886","2113"
"2024-01-22","TikTok Ads","Search","6159.6","64126.68","411","135608","5220"
"2024-06-15","TikTok Ads","Video","5092.35","10489.07","267","92313","5991"
"2024-01-02","TikTok Ads","Shopping","7834.2","50505.07","296","83953","5935"
"2024-02-22","TikTok Ads","Search","8663.77","3369.53","107","91807","4489"
"2024-10-15","TikTok Ads","Search","267.88","5220.85","23","17666","724"
"2024-08-14","Meta Ads","Video","1574.16","12838.56","152","118252","3748"
"2024-04-05","TikTok Ads","Search","3416.16","96298.69","388","92939","5176"
"2024-04-17","Meta Ads","Display","552.83","16531.03","63","30939","937"
"2024-11-13","Google Ads","Shopping","438.02","966.57","10","8748","362"
"2024-04-22","Meta Ads","Video","4904.64","23127.27","129","98264","3144"
"2024-09-11","Meta Ads","Video","8758.24","12320.17","65","173229","5092"
"2024-05-26","Meta Ads","Video","1218.66","42434.18","159","147483","2138"
"2024-02-29","Google Ads","Shopping","10736.08","78428.38","291","116472","4006"
"2024-04-22","TikTok Ads","Shopping","1435.48","13898.86","92","37711","2111"
"2024-10-15","TikTok Ads","Shopping","7822.17","36717.43","194","96412","7047"
"2024-08-13","TikTok Ads","Video","3098.9","56216.92","198","184476","8854"
"2024-08-20","TikTok Ads","Search","3498.79","8788.51","116","38828","3607"
"2024-12-25","Meta Ads","Video","9630.6","34433.97","271","187957","4586"
"2024-11-01","Google Ads","Video","1857.25","4344.96","116","34592","1615"
"2024-07-04","Meta Ads","Shopping","5300.1","41326.63","400","185798","5889"
"2024-12-30","TikTok Ads","Video","11153.7","56289.95","379","194407","13122"
"2024-11-13","Google Ads","Search","14657.4","124232.5","614","188062","8143"
"2024-12-14","Meta Ads","Shopping","2374.93","27223.39","352","195710","4481"
"2024-04-09","Google Ads","Display","32656.06","71482.19","407","198824","9046"
"2024-06-08","Meta Ads","Shopping","10466.86","24196.95","282","196962","5081"
"2024-08-29","Google Ads","Shopping","6885.06","36776.35","130","105386","3783"
"2024-09-05","Google Ads","Search","2534.92","9253.27","98","49425","1996"
"2024-12-26","Meta Ads","Video","5477.19","8367.46","72","191141","4453"
"2024-05-23","TikTok Ads","Shopping","2488.88","109696.83","367","91900","4696"
"2024-11-26","Google Ads","Video","2361.15","3966.25","57","11801","795"
"2024-11-16","Meta Ads","Display","5837","28429.29","193","193926","5837"
"2024-02-27","Google Ads","Display","2133.42","6145.22","68","35355","961"
"2024-11-12","TikTok Ads","Shopping","4560","83385.98","279","133148","9120"
"2024-01-12","Meta Ads","Video","2860.59","10401.62","204","104657","4029"
"2024-05-24","TikTok Ads","Shopping","17816.72","73177.92","512","174160","9683"
"2024-01-05","TikTok Ads","Display","791.3","4383.32","28","6015","410"
"2024-01-06","Meta Ads","Search","1408.44","1946.19","30","17763","726"
"2024-10-14","TikTok Ads","Search","9968","81609.12","306","97193","6230"
"2024-03-06","Meta Ads","Shopping","2604.52","12746.65","84","58682","1748"
"2024-03-21","TikTok Ads","Display","5280.66","27408.56","289","108196","5334"
"2024-01-08","Google Ads","Search","3823.68","3893.12","37","63243","1707"
"2024-08-20","Google Ads","Search","3673.5","91949.73","330","152979","4650"
"2024-01-08","Google Ads","Display","10407.06","6779.29","97","132600","6802"
"2024-09-30","Google Ads","Video","4689.5","18314.78","197","110977","4150"
"2024-03-07","Google Ads","Search","9465.37","25958.5","127","87152","3599"
"2024-08-16","Meta Ads","Shopping","1266.54","7181.17","139","164096","1919"
"2024-08-10","Meta Ads","Shopping","752.8","8479.43","46","21389","941"
"2024-04-27","Google Ads","Shopping","4750.11","16337.12","94","69323","2169"
"2024-05-17","Google Ads","Display","2753.94","12761.51","217","138291","3318"
"2024-11-29","TikTok Ads","Shopping","3251.21","12919.22","153","72444","2339"
"2024-12-04","Google Ads","Search","22259.2","70823.58","403","160002","7520"
"2024-08-12","Meta Ads","Search","891.52","1955.09","8","16246","448"
"2024-06-05","Meta Ads","Shopping","765.63","1223.95","7","15789","423"
"2024-06-05","Google Ads","Search","1661.4","1896.75","24","25103","710"
"2024-12-28","TikTok Ads","Display","2232.27","10321.59","285","138515","4377"
"2024-02-20","Meta Ads","Search","4217.5","17456.79","191","180399","6025"
"2024-05-16","Meta Ads","Video","1187.76","5627.66","37","62545","606"
"2024-06-30","Google Ads","Shopping","3347.76","25859.74","168","72526","2146"
"2024-07-07","Meta Ads","Display","3797.25","4093.91","26","67823","2075"
"2024-06-23","Meta Ads","Display","4809.24","35127.5","129","164937","4453"
"2024-12-14","Meta Ads","Search","1080.67","10656.96","113","114575","2039"
"2024-06-13","Google Ads","Shopping","2789.07","21855.26","152","132157","2999"
"2024-01-11","TikTok Ads","Video","3649.08","28726.52","98","108145","3882"
"2024-04-29","TikTok Ads","Search","3496.24","15070.44","59","72642","3014"
"2024-04-07","TikTok Ads","Display","7620.34","29682.01","505","131678","8374"
"2024-05-13","Google Ads","Video","4323.06","1273.24","17","34402","1314"
"2024-10-08","Meta Ads","Video","1762.67","20273.71","89","58276","1183"
"2024-08-14","Google Ads","Shopping","10662.96","33243.77","154","168059","3462"
"2024-08-16","Meta Ads","Video","3651.11","5119.1","64","91123","1567"
"2024-05-28","Meta Ads","Shopping","406.8","1102.53","5","16344","452"
"2024-03-26","TikTok Ads","Video","9292.8","12231.1","80","99457","5808"
"2024-06-07","Meta Ads","Video","1357.23","9739.81","40","57375","843"
"2024-04-17","Google Ads","Display","7093.76","22528.38","95","115017","2771"
"2024-09-28","Meta Ads","Search","3150.1","14834.93","57","90431","1853"
"2024-03-13","Meta Ads","Search","3128.52","59980.19","384","140566","5046"
"2024-02-28","Meta Ads","Search","2570.1","31756.12","255","133583","3954"
"2024-04-08","Google Ads","Video","32235.84","58794.32","336","198555","13104"
"2024-09-23","Meta Ads","Display","685.88","8584.02","81","88560","1319"
"2024-06-24","Google Ads","Display","19550.98","75729.26","411","117217","5602"
"2024-08-24","Meta Ads","Shopping","7164.96","45906.84","233","104616","4048"
"2024-02-14","TikTok Ads","Video","840.72","16973.79","170","79553","2712"
"2024-08-20","Google Ads","Search","5321.12","44297.15","326","170904","4751"
"2024-07-14","Google Ads","Search","11847.63","103474.34","348","88807","4999"
"2024-08-14","Meta Ads","Shopping","2770.24","13465.06","45","157499","1574"
"2024-09-27","Meta Ads","Search","707.76","2501.87","11","46846","983"
"2024-09-18","TikTok Ads","Search","2207.16","57679.5","219","104986","6131"
"2024-05-24","Meta Ads","Shopping","4546.08","82096.8","335","172516","6314"
"2024-08-23","Meta Ads","Display","2049.27","3413.17","103","187099","2469"
"2024-04-04","Google Ads","Shopping","3301.2","21226.88","310","111661","3930"
"2024-06-09","Meta Ads","Display","1633.46","29391.59","100","79441","3082"
"2024-04-15","Google Ads","Display","1724.38","16289.72","57","14078","763"
"2024-01-07","Meta Ads","Shopping","3734.78","53450.65","260","182235","5047"
"2024-02-24","Meta Ads","Video","2720.61","49256.62","168","128629","2109"
"2024-04-02","Meta Ads","Display","717.12","4449.98","15","21309","432"
"2024-09-06","Google Ads","Search","16523.82","38475.06","247","167932","6717"
"2024-01-08","TikTok Ads","Search","7782.72","86383.64","575","162795","8107"
"2024-08-18","Meta Ads","Search","1584.84","2707.5","29","50893","1124"
"2024-09-22","TikTok Ads","Display","1702.81","46448.44","222","81619","3623"
"2024-07-25","Meta Ads","Search","3141.3","19750.24","70","154381","1698"
"2024-01-12","Google Ads","Search","5584.65","20460.25","167","124273","3603"
"2024-12-01","Meta Ads","Video","190.08","2562.91","10","6969","176"
"2024-05-24","TikTok Ads","Display","699.4","8233.32","40","29089","1076"
"2024-07-10","Google Ads","Shopping","836.19","5339.04","36","10704","489"
"2024-12-04","TikTok Ads","Search","992.75","5743.6","38","22772","1045"
"2024-04-11","Google Ads","Search","7818.3","60681.21","243","68449","3285"
"2024-10-26","Google Ads","Search","7191.36","37600.62","138","51819","2497"
"2024-11-19","Google Ads","Video","5884.34","44895.5","201","173722","3821"
"2024-12-15","Google Ads","Shopping","17101.44","23773.95","95","119014","5938"
"2024-05-20","Google Ads","Search","9409.16","33272.11","336","159741","6868"
"2024-02-29","Google Ads","Shopping","20309.52","10777.69","193","167982","7693"
"2024-06-08","Google Ads","Video","9510.14","25060.16","112","96658","2822"
"2024-01-19","Meta Ads","Video","1882.9","3146.23","25","43467","991"
"2024-01-05","Google Ads","Search","2488.29","9343.63","73","41378","2023"
"2024-10-26","TikTok Ads","Video","6003.9","41067.13","196","100673","5718"
"2024-12-13","TikTok Ads","Shopping","16089.84","60355.75","936","191994","14898"
"2024-05-21","TikTok Ads","Display","4455.92","48424.44","252","152235","6104"
"2024-12-07","Meta Ads","Video","1862.19","9540.22","38","66929","1539"
"2024-05-09","Google Ads","Video","8267.35","88923.49","376","188202","7189"
"2024-01-25","Google Ads","Video","4254.64","82363.46","309","184316","4091"
"2024-09-10","Google Ads","Video","5938.35","57936.29","196","65545","3355"
"2024-06-04","Google Ads","Video","2625.42","7236.65","42","33141","798"
"2024-07-09","Meta Ads","Video","1577.62","4290.5","30","76229","1562"
"2024-11-09","TikTok Ads","Search","3736.95","62355.52","305","141614","10677"
"2024-07-14","Meta Ads","Shopping","6734.92","91408.9","377","161193","4916"
"2024-02-17","Google Ads","Search","14706.3","34307.21","127","142244","4935"
"2024-03-27","Meta Ads","Search","832.95","7044.13","64","178063","1851"
"2024-01-28","Google Ads","Video","9999.4","42071.17","177","193978","5780"
"2024-02-18","Meta Ads","Display","12630.84","94906.46","493","187051","6284"
"2024-01-11","Meta Ads","Video","7412.85","9232.39","147","152977","5491"
"2024-05-01","Google Ads","Display","11637","16618.47","211","129447","4310"
"2024-01-22","Google Ads","Shopping","2231.04","7232.57","41","28387","672"
"2024-04-27","Meta Ads","Shopping","981","21439.34","80","88986","1308"
"2024-01-10","Google Ads","Video","24859.38","22672.12","98","170268","7917"
"2024-01-20","Google Ads","Display","7566.96","10417.89","155","122322","6152"
"2024-02-07","Meta Ads","Display","3863.7","21584.01","119","69429","2430"
"2024-06-07","Meta Ads","Display","7941.07","27686.79","186","196675","4031"
"2024-05-25","Google Ads","Video","12466.38","14496.48","234","104134","3603"
"2024-12-24","Meta Ads","Display","4913","47769.42","170","150544","2890"
"2024-10-28","TikTok Ads","Video","1465.64","33301.04","203","75553","3331"
"2024-10-23","Meta Ads","Search","901.69","3133.33","30","149565","2437"
"2024-04-15","Google Ads","Display","524.3","2475.65","20","12896","535"
"2024-05-22","TikTok Ads","Display","3872.7","25462.93","164","70428","3310"
"2024-06-09","TikTok Ads","Shopping","282.72","5118.94","21","12345","456"
"2024-11-25","Meta Ads","Display","523.25","1746.46","29","18140","455"
"2024-02-18","Google Ads","Video","4716.36","3266.45","33","42823","1588"
"2024-01-26","TikTok Ads","Shopping","1249.5","3037.11","55","34118","1470"
"2024-01-08","Meta Ads","Video","2941.96","28717.22","159","127775","3871"
"2024-09-15","Google Ads","Shopping","4333.76","29811.83","152","136354","3736"
"2024-10-28","Google Ads","Shopping","17778.42","5144.22","154","115454","7227"
"2024-06-02","Meta Ads","Search","1461.74","7343.12","58","37994","1379"
"2024-10-12","Meta Ads","Video","2559.7","25496.94","129","74615","2327"
"2024-12-15","Google Ads","Search","6690.1","74442.63","250","176790","4490"
"2024-10-29","Google Ads","Shopping","6201.34","7635.29","28","60077","1994"
"2024-03-31","Meta Ads","Display","3417.54","3173.67","85","151295","2163"
"2024-04-19","TikTok Ads","Display","2175","14237","94","20282","1740"
"2024-10-12","Google Ads","Search","5490.5","75172.15","289","185488","3950"
"2024-09-11","Meta Ads","Display","1688.31","13037.25","68","28567","999"
"2024-11-19","Google Ads","Search","10907.4","72622.99","268","96170","5145"
"2024-02-07","Meta Ads","Shopping","4250.35","11353.12","72","101019","2515"
"2024-03-01","TikTok Ads","Shopping","4636","24815.09","157","91795","3800"
"2024-07-08","Meta Ads","Search","496.17","642.18","12","22543","333"
"2024-02-28","Meta Ads","Shopping","2128","17165.43","64","119598","1064"
